c_real,c_img,divergence
-2.000000,-1.100000,1
-2.000000,-1.077778,1
-2.000000,-1.055556,1
-2.000000,-1.033333,1
-2.000000,-1.011111,1
-2.000000,-0.988889,1
-2.000000,-0.966667,1
-2.000000,-0.944444,1
-2.000000,-0.922222,1
-2.000000,-0.900000,1
-2.000000,-0.877778,1
-2.000000,-0.855556,1
-2.000000,-0.833333,1
-2.000000,-0.811111,1
-2.000000,-0.788889,1
-2.000000,-0.766667,1
-2.000000,-0.744444,1
-2.000000,-0.722222,1
-2.000000,-0.700000,1
-2.000000,-0.677778,1
-2.000000,-0.655556,1
-2.000000,-0.633333,1
-2.000000,-0.611111,1
-2.000000,-0.588889,1
-2.000000,-0.566667,1
-2.000000,-0.544444,1
-2.000000,-0.522222,1
-2.000000,-0.500000,1
-2.000000,-0.477778,1
-2.000000,-0.455556,1
-2.000000,-0.433333,1
-2.000000,-0.411111,1
-2.000000,-0.388889,1
-2.000000,-0.366667,1
-2.000000,-0.344444,1
-2.000000,-0.322222,1
-2.000000,-0.300000,1
-2.000000,-0.277778,1
-2.000000,-0.255556,1
-2.000000,-0.233333,1
-2.000000,-0.211111,1
-2.000000,-0.188889,1
-2.000000,-0.166667,1
-2.000000,-0.144444,1
-2.000000,-0.122222,1
-2.000000,-0.100000,1
-2.000000,-0.077778,1
-2.000000,-0.055556,1
-2.000000,-0.033333,1
-2.000000,-0.011111,1
-2.000000,0.011111,1
-2.000000,0.033333,1
-2.000000,0.055556,1
-2.000000,0.077778,1
-2.000000,0.100000,1
-2.000000,0.122222,1
-2.000000,0.144444,1
-2.000000,0.166667,1
-2.000000,0.188889,1
-2.000000,0.211111,1
-2.000000,0.233333,1
-2.000000,0.255556,1
-2.000000,0.277778,1
-2.000000,0.300000,1
-2.000000,0.322222,1
-2.000000,0.344444,1
-2.000000,0.366667,1
-2.000000,0.388889,1
-2.000000,0.411111,1
-2.000000,0.433333,1
-2.000000,0.455556,1
-2.000000,0.477778,1
-2.000000,0.500000,1
-2.000000,0.522222,1
-2.000000,0.544444,1
-2.000000,0.566667,1
-2.000000,0.588889,1
-2.000000,0.611111,1
-2.000000,0.633333,1
-2.000000,0.655556,1
-2.000000,0.677778,1
-2.000000,0.700000,1
-2.000000,0.722222,1
-2.000000,0.744444,1
-2.000000,0.766667,1
-2.000000,0.788889,1
-2.000000,0.811111,1
-2.000000,0.833333,1
-2.000000,0.855556,1
-2.000000,0.877778,1
-2.000000,0.900000,1
-2.000000,0.922222,1
-2.000000,0.944444,1
-2.000000,0.966667,1
-2.000000,0.988889,1
-2.000000,1.011111,1
-2.000000,1.033333,1
-2.000000,1.055556,1
-2.000000,1.077778,1
-2.000000,1.100000,1
-1.974747,-1.100000,1
-1.974747,-1.077778,1
-1.974747,-1.055556,1
-1.974747,-1.033333,1
-1.974747,-1.011111,1
-1.974747,-0.988889,1
-1.974747,-0.966667,1
-1.974747,-0.944444,1
-1.974747,-0.922222,1
-1.974747,-0.900000,1
-1.974747,-0.877778,1
-1.974747,-0.855556,1
-1.974747,-0.833333,1
-1.974747,-0.811111,1
-1.974747,-0.788889,1
-1.974747,-0.766667,1
-1.974747,-0.744444,1
-1.974747,-0.722222,1
-1.974747,-0.700000,1
-1.974747,-0.677778,1
-1.974747,-0.655556,1
-1.974747,-0.633333,1
-1.974747,-0.611111,1
-1.974747,-0.588889,1
-1.974747,-0.566667,1
-1.974747,-0.544444,1
-1.974747,-0.522222,1
-1.974747,-0.500000,1
-1.974747,-0.477778,1
-1.974747,-0.455556,1
-1.974747,-0.433333,1
-1.974747,-0.411111,1
-1.974747,-0.388889,1
-1.974747,-0.366667,1
-1.974747,-0.344444,1
-1.974747,-0.322222,1
-1.974747,-0.300000,1
-1.974747,-0.277778,1
-1.974747,-0.255556,1
-1.974747,-0.233333,1
-1.974747,-0.211111,1
-1.974747,-0.188889,1
-1.974747,-0.166667,1
-1.974747,-0.144444,1
-1.974747,-0.122222,1
-1.974747,-0.100000,1
-1.974747,-0.077778,1
-1.974747,-0.055556,1
-1.974747,-0.033333,1
-1.974747,-0.011111,1
-1.974747,0.011111,1
-1.974747,0.033333,1
-1.974747,0.055556,1
-1.974747,0.077778,1
-1.974747,0.100000,1
-1.974747,0.122222,1
-1.974747,0.144444,1
-1.974747,0.166667,1
-1.974747,0.188889,1
-1.974747,0.211111,1
-1.974747,0.233333,1
-1.974747,0.255556,1
-1.974747,0.277778,1
-1.974747,0.300000,1
-1.974747,0.322222,1
-1.974747,0.344444,1
-1.974747,0.366667,1
-1.974747,0.388889,1
-1.974747,0.411111,1
-1.974747,0.433333,1
-1.974747,0.455556,1
-1.974747,0.477778,1
-1.974747,0.500000,1
-1.974747,0.522222,1
-1.974747,0.544444,1
-1.974747,0.566667,1
-1.974747,0.588889,1
-1.974747,0.611111,1
-1.974747,0.633333,1
-1.974747,0.655556,1
-1.974747,0.677778,1
-1.974747,0.700000,1
-1.974747,0.722222,1
-1.974747,0.744444,1
-1.974747,0.766667,1
-1.974747,0.788889,1
-1.974747,0.811111,1
-1.974747,0.833333,1
-1.974747,0.855556,1
-1.974747,0.877778,1
-1.974747,0.900000,1
-1.974747,0.922222,1
-1.974747,0.944444,1
-1.974747,0.966667,1
-1.974747,0.988889,1
-1.974747,1.011111,1
-1.974747,1.033333,1
-1.974747,1.055556,1
-1.974747,1.077778,1
-1.974747,1.100000,1
-1.949495,-1.100000,1
-1.949495,-1.077778,1
-1.949495,-1.055556,1
-1.949495,-1.033333,1
-1.949495,-1.011111,1
-1.949495,-0.988889,1
-1.949495,-0.966667,1
-1.949495,-0.944444,1
-1.949495,-0.922222,1
-1.949495,-0.900000,1
-1.949495,-0.877778,1
-1.949495,-0.855556,1
-1.949495,-0.833333,1
-1.949495,-0.811111,1
-1.949495,-0.788889,1
-1.949495,-0.766667,1
-1.949495,-0.744444,1
-1.949495,-0.722222,1
-1.949495,-0.700000,1
-1.949495,-0.677778,1
-1.949495,-0.655556,1
-1.949495,-0.633333,1
-1.949495,-0.611111,1
-1.949495,-0.588889,1
-1.949495,-0.566667,1
-1.949495,-0.544444,1
-1.949495,-0.522222,1
-1.949495,-0.500000,1
-1.949495,-0.477778,1
-1.949495,-0.455556,1
-1.949495,-0.433333,1
-1.949495,-0.411111,1
-1.949495,-0.388889,1
-1.949495,-0.366667,1
-1.949495,-0.344444,1
-1.949495,-0.322222,1
-1.949495,-0.300000,1
-1.949495,-0.277778,1
-1.949495,-0.255556,1
-1.949495,-0.233333,1
-1.949495,-0.211111,1
-1.949495,-0.188889,1
-1.949495,-0.166667,1
-1.949495,-0.144444,1
-1.949495,-0.122222,1
-1.949495,-0.100000,1
-1.949495,-0.077778,1
-1.949495,-0.055556,1
-1.949495,-0.033333,1
-1.949495,-0.011111,1
-1.949495,0.011111,1
-1.949495,0.033333,1
-1.949495,0.055556,1
-1.949495,0.077778,1
-1.949495,0.100000,1
-1.949495,0.122222,1
-1.949495,0.144444,1
-1.949495,0.166667,1
-1.949495,0.188889,1
-1.949495,0.211111,1
-1.949495,0.233333,1
-1.949495,0.255556,1
-1.949495,0.277778,1
-1.949495,0.300000,1
-1.949495,0.322222,1
-1.949495,0.344444,1
-1.949495,0.366667,1
-1.949495,0.388889,1
-1.949495,0.411111,1
-1.949495,0.433333,1
-1.949495,0.455556,1
-1.949495,0.477778,1
-1.949495,0.500000,1
-1.949495,0.522222,1
-1.949495,0.544444,1
-1.949495,0.566667,1
-1.949495,0.588889,1
-1.949495,0.611111,1
-1.949495,0.633333,1
-1.949495,0.655556,1
-1.949495,0.677778,1
-1.949495,0.700000,1
-1.949495,0.722222,1
-1.949495,0.744444,1
-1.949495,0.766667,1
-1.949495,0.788889,1
-1.949495,0.811111,1
-1.949495,0.833333,1
-1.949495,0.855556,1
-1.949495,0.877778,1
-1.949495,0.900000,1
-1.949495,0.922222,1
-1.949495,0.944444,1
-1.949495,0.966667,1
-1.949495,0.988889,1
-1.949495,1.011111,1
-1.949495,1.033333,1
-1.949495,1.055556,1
-1.949495,1.077778,1
-1.949495,1.100000,1
-1.924242,-1.100000,1
-1.924242,-1.077778,1
-1.924242,-1.055556,1
-1.924242,-1.033333,1
-1.924242,-1.011111,1
-1.924242,-0.988889,1
-1.924242,-0.966667,1
-1.924242,-0.944444,1
-1.924242,-0.922222,1
-1.924242,-0.900000,1
-1.924242,-0.877778,1
-1.924242,-0.855556,1
-1.924242,-0.833333,1
-1.924242,-0.811111,1
-1.924242,-0.788889,1
-1.924242,-0.766667,1
-1.924242,-0.744444,1
-1.924242,-0.722222,1
-1.924242,-0.700000,1
-1.924242,-0.677778,1
-1.924242,-0.655556,1
-1.924242,-0.633333,1
-1.924242,-0.611111,1
-1.924242,-0.588889,1
-1.924242,-0.566667,1
-1.924242,-0.544444,1
-1.924242,-0.522222,1
-1.924242,-0.500000,1
-1.924242,-0.477778,1
-1.924242,-0.455556,1
-1.924242,-0.433333,1
-1.924242,-0.411111,1
-1.924242,-0.388889,1
-1.924242,-0.366667,1
-1.924242,-0.344444,1
-1.924242,-0.322222,1
-1.924242,-0.300000,1
-1.924242,-0.277778,1
-1.924242,-0.255556,1
-1.924242,-0.233333,1
-1.924242,-0.211111,1
-1.924242,-0.188889,1
-1.924242,-0.166667,1
-1.924242,-0.144444,1
-1.924242,-0.122222,1
-1.924242,-0.100000,1
-1.924242,-0.077778,1
-1.924242,-0.055556,1
-1.924242,-0.033333,1
-1.924242,-0.011111,1
-1.924242,0.011111,1
-1.924242,0.033333,1
-1.924242,0.055556,1
-1.924242,0.077778,1
-1.924242,0.100000,1
-1.924242,0.122222,1
-1.924242,0.144444,1
-1.924242,0.166667,1
-1.924242,0.188889,1
-1.924242,0.211111,1
-1.924242,0.233333,1
-1.924242,0.255556,1
-1.924242,0.277778,1
-1.924242,0.300000,1
-1.924242,0.322222,1
-1.924242,0.344444,1
-1.924242,0.366667,1
-1.924242,0.388889,1
-1.924242,0.411111,1
-1.924242,0.433333,1
-1.924242,0.455556,1
-1.924242,0.477778,1
-1.924242,0.500000,1
-1.924242,0.522222,1
-1.924242,0.544444,1
-1.924242,0.566667,1
-1.924242,0.588889,1
-1.924242,0.611111,1
-1.924242,0.633333,1
-1.924242,0.655556,1
-1.924242,0.677778,1
-1.924242,0.700000,1
-1.924242,0.722222,1
-1.924242,0.744444,1
-1.924242,0.766667,1
-1.924242,0.788889,1
-1.924242,0.811111,1
-1.924242,0.833333,1
-1.924242,0.855556,1
-1.924242,0.877778,1
-1.924242,0.900000,1
-1.924242,0.922222,1
-1.924242,0.944444,1
-1.924242,0.966667,1
-1.924242,0.988889,1
-1.924242,1.011111,1
-1.924242,1.033333,1
-1.924242,1.055556,1
-1.924242,1.077778,1
-1.924242,1.100000,1
-1.898990,-1.100000,1
-1.898990,-1.077778,1
-1.898990,-1.055556,1
-1.898990,-1.033333,1
-1.898990,-1.011111,1
-1.898990,-0.988889,1
-1.898990,-0.966667,1
-1.898990,-0.944444,1
-1.898990,-0.922222,1
-1.898990,-0.900000,1
-1.898990,-0.877778,1
-1.898990,-0.855556,1
-1.898990,-0.833333,1
-1.898990,-0.811111,1
-1.898990,-0.788889,1
-1.898990,-0.766667,1
-1.898990,-0.744444,1
-1.898990,-0.722222,1
-1.898990,-0.700000,1
-1.898990,-0.677778,1
-1.898990,-0.655556,1
-1.898990,-0.633333,1
-1.898990,-0.611111,1
-1.898990,-0.588889,1
-1.898990,-0.566667,1
-1.898990,-0.544444,1
-1.898990,-0.522222,1
-1.898990,-0.500000,1
-1.898990,-0.477778,1
-1.898990,-0.455556,1
-1.898990,-0.433333,1
-1.898990,-0.411111,1
-1.898990,-0.388889,1
-1.898990,-0.366667,1
-1.898990,-0.344444,1
-1.898990,-0.322222,1
-1.898990,-0.300000,1
-1.898990,-0.277778,1
-1.898990,-0.255556,1
-1.898990,-0.233333,1
-1.898990,-0.211111,1
-1.898990,-0.188889,1
